,link_id,post_title,team_1,team_2,created_utc
0,ebo4ky,Game Thread: Indianapolis Colts (6-7) at New Orleans Saints (10-3),Colts,Saints,1576543507.0
1,eb7kyb,Game Thread: Buffalo Bills (9-4) at Pittsburgh Steelers (8-5),Bills,Steelers,1576457409.0
2,eb4jhf,Game Thread: Atlanta Falcons (4-9) at San Francisco 49ers (11-2),49ers,Falcons,1576443306.0
3,eb4jgo,Game Thread: Los Angeles Rams (8-5) at Dallas Cowboys (6-7),Cowboys,Rams,1576443303.0
4,eb49pj,Game Thread: Minnesota Vikings (9-4) at Los Angeles Chargers (5-8),Chargers,Vikings,1576442124.0
5,eb49ox,Game Thread: Jacksonville Jaguars (4-9) at Oakland Raiders (6-7),Jaguars,Raiders,1576442122.0
6,eb49od,Game Thread: Cleveland Browns (6-7) at Arizona Cardinals (3-9-1),Browns,Cardinals,1576442120.0
7,eb1r29,Game Thread: Philadelphia Eagles (6-7) at Washington Redskins (3-10),Eagles,Redskins,1576431036.0
8,eb1r1l,Game Thread: Houston Texans (8-5) at Tennessee Titans (8-5),Texans,Titans,1576431033.0
9,eb1r0m,Game Thread: Miami Dolphins (3-10) at New York Giants (2-11),Dolphins,Giants,1576431030.0
10,eb1r02,Game Thread: Denver Broncos (5-8) at Kansas City Chiefs (9-4),Broncos,Chiefs,1576431028.0
11,eb1qzc,Game Thread: Chicago Bears (7-6) at Green Bay Packers (10-3),Bears,Packers,1576431025.0
12,eb1qyf,Game Thread: Tampa Bay Buccaneers (6-7) at Detroit Lions (3-9-1),Buccaneers,Lions,1576431022.0
13,eb1qxn,Game Thread: New England Patriots (10-3) at Cincinnati Bengals (1-12),Bengals,Patriots,1576431020.0
14,eb1qx0,Game Thread: Seattle Seahawks (10-3) at Carolina Panthers (5-8),Panthers,Seahawks,1576431017.0
15,e9wixd,Game Thread: New York Jets (5-8) at Baltimore Ravens (11-2),Jets,Ravens,1576198204.0
16,e8iz20,Game Thread: New York Giants (2-10) at Philadelphia Eagles (5-7),Eagles,Giants,1575938703.0
17,e82dn6,Game Thread: Seattle Seahawks (10-2) at Los Angeles Rams (7-5),Rams,Seahawks,1575852606.0
18,e7zbio,Game Thread: Tennessee Titans (7-5) at Oakland Raiders (6-6),Raiders,Titans,1575838515.0
19,e7zbi0,Game Thread: Kansas City Chiefs (8-4) at New England Patriots (10-2),Chiefs,Patriots,1575838513.0
20,e7zbhi,Game Thread: Pittsburgh Steelers (7-5) at Arizona Cardinals (3-8-1),Cardinals,Steelers,1575838511.0
21,e7z1lh,Game Thread: Los Angeles Chargers (4-8) at Jacksonville Jaguars (4-8),Chargers,Jaguars,1575837314.0
22,e7wjgw,Game Thread: Indianapolis Colts (6-6) at Tampa Bay Buccaneers (5-7),Buccaneers,Colts,1575826231.0
23,e7wjg2,Game Thread: Miami Dolphins (3-9) at New York Jets (4-8),Dolphins,Jets,1575826229.0
24,e7wjeg,Game Thread: San Francisco 49ers (10-2) at New Orleans Saints (10-2),49ers,Saints,1575826224.0
25,e7wjdh,Game Thread: Detroit Lions (3-8-1) at Minnesota Vikings (8-4),Lions,Vikings,1575826221.0
26,e7wjcj,Game Thread: Denver Broncos (4-8) at Houston Texans (8-4),Broncos,Texans,1575826218.0
27,e7wjbi,Game Thread: Washington Redskins (3-9) at Green Bay Packers (9-3),Packers,Redskins,1575826215.0
28,e7wjak,Game Thread: Cincinnati Bengals (1-11) at Cleveland Browns (5-7),Bengals,Browns,1575826213.0
29,e7wj9u,Game Thread: Baltimore Ravens (10-2) at Buffalo Bills (9-3),Bills,Ravens,1575826210.0
30,e7wj95,Game Thread: Carolina Panthers (5-7) at Atlanta Falcons (3-9),Falcons,Panthers,1575826207.0
31,e6qtq1,Game Thread: Dallas Cowboys (6-6) at Chicago Bears (6-6),Bears,Cowboys,1575593413.0
32,e58p5d,Game Thread: Minnesota Vikings (8-3) at Seattle Seahawks (9-2),Seahawks,Vikings,1575333914.0
33,e4qxb6,Game Thread: New England Patriots (10-1) at Houston Texans (7-4),Patriots,Texans,1575247810.0
34,e4nk7c,Game Thread: Los Angeles Chargers (4-7) at Denver Broncos (3-8),Broncos,Chargers,1575233708.0
35,e4nk6d,Game Thread: Oakland Raiders (6-5) at Kansas City Chiefs (7-4),Chiefs,Raiders,1575233706.0
36,e4n9ei,Game Thread: Los Angeles Rams (6-5) at Arizona Cardinals (3-7-1),Cardinals,Rams,1575232526.0
37,e4kghq,Game Thread: Cleveland Browns (5-6) at Pittsburgh Steelers (6-5),Browns,Steelers,1575221426.0
38,e4kggr,Game Thread: Green Bay Packers (8-3) at New York Giants (2-9),Giants,Packers,1575221423.0
39,e4kgg2,Game Thread: Philadelphia Eagles (5-6) at Miami Dolphins (2-9),Dolphins,Eagles,1575221420.0
40,e4kgfb,Game Thread: Tampa Bay Buccaneers (4-7) at Jacksonville Jaguars (4-7),Buccaneers,Jaguars,1575221418.0
41,e4kgem,Game Thread: Tennessee Titans (6-5) at Indianapolis Colts (6-5),Colts,Titans,1575221415.0
42,e4kgdn,Game Thread: New York Jets (4-7) at Cincinnati Bengals (0-11),Bengals,Jets,1575221412.0
43,e4kgcq,Game Thread: Washington Redskins (2-9) at Carolina Panthers (5-6),Panthers,Redskins,1575221410.0
44,e4kgbx,Game Thread: San Francisco 49ers (10-1) at Baltimore Ravens (9-2),49ers,Ravens,1575221407.0
45,e3746m,Game Thread: New Orleans Saints (9-2) at Atlanta Falcons (3-8),Falcons,Saints,1574988610.0
46,e347mw,Game Thread: Buffalo Bills (8-3) at Dallas Cowboys (6-5),Bills,Cowboys,1574974809.0
47,e30poh,Game Thread: Chicago Bears (5-6) at Detroit Lions (3-7-1),Bears,Lions,1574960418.0
48,e1px8h,Game Thread: Baltimore Ravens (8-2) at Los Angeles Rams (6-4),Rams,Ravens,1574729103.0
49,e17zay,Game Thread: Green Bay Packers (8-2) at San Francisco 49ers (9-1),49ers,Packers,1574643007.0
50,e14igs,Game Thread: Dallas Cowboys (6-4) at New England Patriots (9-1),Cowboys,Patriots,1574628902.0
51,e147sb,Game Thread: Jacksonville Jaguars (4-6) at Tennessee Titans (5-5),Jaguars,Titans,1574627732.0
52,e11i9t,Game Thread: Seattle Seahawks (8-2) at Philadelphia Eagles (5-5),Eagles,Seahawks,1574616630.0
53,e11i8x,Game Thread: Detroit Lions (3-6-1) at Washington Redskins (1-9),Lions,Redskins,1574616627.0
54,e11i83,Game Thread: Oakland Raiders (6-4) at New York Jets (3-7),Jets,Raiders,1574616625.0
55,e11i7g,Game Thread: Carolina Panthers (5-5) at New Orleans Saints (8-2),Panthers,Saints,1574616622.0
56,e11i6h,Game Thread: Miami Dolphins (2-8) at Cleveland Browns (4-6),Browns,Dolphins,1574616619.0
57,e11i5a,Game Thread: Pittsburgh Steelers (5-5) at Cincinnati Bengals (0-10),Bengals,Steelers,1574616616.0
58,e11i4c,Game Thread: New York Giants (2-8) at Chicago Bears (4-6),Bears,Giants,1574616613.0
59,e11i3w,Game Thread: Denver Broncos (3-7) at Buffalo Bills (7-3),Bills,Broncos,1574616610.0
60,e11i34,Game Thread: Tampa Bay Buccaneers (3-7) at Atlanta Falcons (3-7),Buccaneers,Falcons,1574616607.0
61,dzt5gp,Game Thread: Indianapolis Colts (6-4) at Houston Texans (6-4),Colts,Texans,1574383807.0
62,dycm4i,Game Thread: Kansas City Chiefs (6-4) at Los Angeles Chargers (4-6),Chargers,Chiefs,1574124312.0
63,dxvl2v,Game Thread: Chicago Bears (4-5) at Los Angeles Rams (5-4),Bears,Rams,1574038205.0
64,dxsewi,Game Thread: New England Patriots (8-1) at Philadelphia Eagles (5-4),Eagles,Patriots,1574024103.0
65,dxsevy,Game Thread: Cincinnati Bengals (0-9) at Oakland Raiders (5-4),Bengals,Raiders,1574024102.0
66,dxs4px,Game Thread: Arizona Cardinals (3-6-1) at San Francisco 49ers (8-1),49ers,Cardinals,1574022922.0
67,dxpi1j,Game Thread: New York Jets (2-7) at Washington Redskins (1-8),Jets,Redskins,1574011836.0
68,dxpi0u,Game Thread: New Orleans Saints (7-2) at Tampa Bay Buccaneers (3-6),Buccaneers,Saints,1574011833.0
69,dxpi00,Game Thread: Denver Broncos (3-6) at Minnesota Vikings (7-3),Broncos,Vikings,1574011830.0
70,dxphzb,Game Thread: Buffalo Bills (6-3) at Miami Dolphins (2-7),Bills,Dolphins,1574011828.0
71,dxphyn,Game Thread: Jacksonville Jaguars (4-5) at Indianapolis Colts (5-4),Colts,Jaguars,1574011825.0
72,dxphxv,Game Thread: Dallas Cowboys (5-4) at Detroit Lions (3-5-1),Cowboys,Lions,1574011822.0
73,dxphx9,Game Thread: Atlanta Falcons (2-7) at Carolina Panthers (5-4),Falcons,Panthers,1574011820.0
74,dxphwk,Game Thread: Houston Texans (6-3) at Baltimore Ravens (7-2),Ravens,Texans,1574011817.0
75,dwixur,Game Thread: Pittsburgh Steelers (5-4) at Cleveland Browns (3-6),Browns,Steelers,1573779012.0
76,dv22ng,Game Thread: Seattle Seahawks (7-2) at San Francisco 49ers (8-0),49ers,Seahawks,1573519505.0
77,dukg5p,Game Thread: Minnesota Vikings (6-3) at Dallas Cowboys (5-3),Cowboys,Vikings,1573433405.0
78,duh9sn,Game Thread: Los Angeles Rams (5-3) at Pittsburgh Steelers (4-4),Rams,Steelers,1573419310.0
79,duh9s0,Game Thread: Carolina Panthers (5-3) at Green Bay Packers (7-2),Packers,Panthers,1573419308.0
80,dugzhg,Game Thread: Miami Dolphins (1-7) at Indianapolis Colts (5-3),Colts,Dolphins,1573418110.0
81,duedfm,Game Thread: Kansas City Chiefs (6-3) at Tennessee Titans (4-5),Chiefs,Titans,1573407021.0
82,duedeh,Game Thread: Arizona Cardinals (3-5-1) at Tampa Bay Buccaneers (2-6),Buccaneers,Cardinals,1573407017.0
83,dueddw,Game Thread: New York Giants (2-7) at New York Jets (1-7),Giants,Jets,1573407013.0
84,duedcw,Game Thread: Atlanta Falcons (1-7) at New Orleans Saints (7-1),Falcons,Saints,1573407010.0
85,duedc5,Game Thread: Buffalo Bills (6-2) at Cleveland Browns (2-6),Bills,Browns,1573407008.0
86,duedbe,Game Thread: Baltimore Ravens (6-2) at Cincinnati Bengals (0-8),Bengals,Ravens,1573407005.0
87,duedaz,Game Thread: Detroit Lions (3-4-1) at Chicago Bears (3-5),Bears,Lions,1573407002.0
88,dt7gia,Game Thread: Los Angeles Chargers (4-5) at Oakland Raiders (4-4),Chargers,Raiders,1573174216.0
89,drraz8,Game Thread: Dallas Cowboys (4-3) at New York Giants (2-6),Cowboys,Giants,1572914714.0
90,dr9sps,Game Thread: New England Patriots (8-0) at Baltimore Ravens (5-2),Patriots,Ravens,1572828605.0
91,dr6kr8,Game Thread: Green Bay Packers (7-1) at Los Angeles Chargers (3-5),Chargers,Packers,1572814509.0
92,dr6kqs,Game Thread: Cleveland Browns (2-5) at Denver Broncos (2-6),Broncos,Browns,1572814508.0
